,subset,session,identifier,num_spk,first_scale,subjects
0,1,1,S21_P46_326_output,1,SIG,[1 2 3 4 5 6 7 8]
1,1,1,S01_P04_273_output,1,SIG,[1 2 3 4 5 6 7 8]
2,1,1,S21_P45_49_output,1,SIG,[1 2 3 4 5 6 7 8]
3,1,1,S01_P01_285_output,1,SIG,[1 2 3 4 5 6 7 8]
4,1,1,S01_P04_36_output,1,SIG,[1 2 3 4 5 6 7 8]
5,1,1,S01_P02_174_output,1,SIG,[1 2 3 4 5 6 7 8]
6,1,1,S21_P47_122_output,1,SIG,[1 2 3 4 5 6 7 8]
7,1,1,S01_P01_261_output,1,SIG,[1 2 3 4 5 6 7 8]
8,1,2,S01_P02_461_output,1,SIG,[1 2 3 4 5 6 7 8]
9,1,2,S01_P02_332_output,1,SIG,[1 2 3 4 5 6 7 8]
10,1,2,S01_P04_336_output,1,SIG,[1 2 3 4 5 6 7 8]
11,1,2,S21_P47_507_output,1,SIG,[1 2 3 4 5 6 7 8]
12,1,2,S21_P47_290_output,1,SIG,[1 2 3 4 5 6 7 8]
13,1,2,S21_P45_68_output,1,SIG,[1 2 3 4 5 6 7 8]
14,1,2,S01_P03_455_output,1,SIG,[1 2 3 4 5 6 7 8]
15,1,2,S21_P46_65_output,1,SIG,[1 2 3 4 5 6 7 8]
16,1,3,S01_P01_191_output,1,BAK,[1 2 3 4 5 6 7 8]
17,1,3,S01_P01_322_output,1,BAK,[1 2 3 4 5 6 7 8]
18,1,3,S21_P47_310_output,1,BAK,[1 2 3 4 5 6 7 8]
19,1,3,S01_P01_209_output,1,BAK,[1 2 3 4 5 6 7 8]
20,1,3,S01_P04_105_output,1,BAK,[1 2 3 4 5 6 7 8]
21,1,3,S01_P04_416_output,1,BAK,[1 2 3 4 5 6 7 8]
22,1,3,S01_P03_410_output,1,BAK,[1 2 3 4 5 6 7 8]
23,1,4,S21_P45_131_output,1,BAK,[1 2 3 4 5 6 7 8]
24,1,4,S01_P02_170_output,1,BAK,[1 2 3 4 5 6 7 8]
25,1,4,S01_P04_151_output,1,BAK,[1 2 3 4 5 6 7 8]
26,1,4,S01_P03_92_output,1,BAK,[1 2 3 4 5 6 7 8]
27,1,4,S01_P04_41_output,1,BAK,[1 2 3 4 5 6 7 8]
28,1,4,S01_P01_315_output,1,BAK,[1 2 3 4 5 6 7 8]
29,1,4,S21_P45_469_output,1,BAK,[1 2 3 4 5 6 7 8]
116,1,1,S01_P02_194_output,2,SIG,[1 2 3 4 5 6 7 8]
117,1,1,S21_P46_68_output,2,SIG,[1 2 3 4 5 6 7 8]
118,1,1,S01_P04_218_output,2,SIG,[1 2 3 4 5 6 7 8]
119,1,1,S01_P02_21_output,2,SIG,[1 2 3 4 5 6 7 8]
120,1,1,S21_P45_203_output,2,SIG,[1 2 3 4 5 6 7 8]
121,1,2,S01_P04_200_output,2,SIG,[1 2 3 4 5 6 7 8]
122,1,2,S21_P45_29_output,2,SIG,[1 2 3 4 5 6 7 8]
123,1,2,S21_P45_170_output,2,SIG,[1 2 3 4 5 6 7 8]
124,1,2,S01_P03_144_output,2,SIG,[1 2 3 4 5 6 7 8]
125,1,2,S21_P47_32_output,2,SIG,[1 2 3 4 5 6 7 8]
126,1,3,S21_P46_114_output,2,BAK,[1 2 3 4 5 6 7 8]
127,1,3,S01_P04_253_output,2,BAK,[1 2 3 4 5 6 7 8]
128,1,3,S01_P02_10_output,2,BAK,[1 2 3 4 5 6 7 8]
129,1,3,S01_P04_84_output,2,BAK,[1 2 3 4 5 6 7 8]
130,1,3,S21_P45_117_output,2,BAK,[1 2 3 4 5 6 7 8]
131,1,3,S01_P01_37_output,2,BAK,[1 2 3 4 5 6 7 8]
132,1,4,S01_P02_146_output,2,BAK,[1 2 3 4 5 6 7 8]
133,1,4,S21_P47_223_output,2,BAK,[1 2 3 4 5 6 7 8]
134,1,4,S01_P02_178_output,2,BAK,[1 2 3 4 5 6 7 8]
135,1,4,S01_P03_156_output,2,BAK,[1 2 3 4 5 6 7 8]
136,1,4,S21_P45_229_output,2,BAK,[1 2 3 4 5 6 7 8]
137,1,4,S21_P46_35_output,2,BAK,[1 2 3 4 5 6 7 8]
203,1,1,S01_P04_7_output,3,SIG,[1 2 3 4 5 6 7 8]
204,1,1,S01_P04_42_output,3,SIG,[1 2 3 4 5 6 7 8]
205,1,2,S01_P04_31_output,3,SIG,[1 2 3 4 5 6 7 8]
206,1,3,S01_P04_64_output,3,BAK,[1 2 3 4 5 6 7 8]
207,1,3,S01_P03_25_output,3,BAK,[1 2 3 4 5 6 7 8]
