,subset,stimulus,subjects
0,1,1/S01_P01_141_output.wav,[1 2 3 4 5 6 7 8]
31,1,2/S01_P03_73_output.wav,[1 2 3 4 5 6 7 8]
32,1,1/S01_P03_92_output.wav,[1 2 3 4 5 6 7 8]
33,1,3/S01_P01_25_output.wav,[1 2 3 4 5 6 7 8]
34,1,2/S21_P46_26_output.wav,[1 2 3 4 5 6 7 8]
35,1,1/S01_P02_203_output.wav,[1 2 3 4 5 6 7 8]
36,1,2/S21_P47_234_output.wav,[1 2 3 4 5 6 7 8]
37,1,3/S01_P04_1_output.wav,[1 2 3 4 5 6 7 8]
38,1,1/S01_P02_46_output.wav,[1 2 3 4 5 6 7 8]
39,1,1/S01_P04_290_output.wav,[1 2 3 4 5 6 7 8]
40,1,2/S01_P02_194_output.wav,[1 2 3 4 5 6 7 8]
41,1,1/S21_P47_438_output.wav,[1 2 3 4 5 6 7 8]
43,1,1/S21_P45_176_output.wav,[1 2 3 4 5 6 7 8]
30,1,2/S21_P45_203_output.wav,[1 2 3 4 5 6 7 8]
44,1,2/S01_P01_83_output.wav,[1 2 3 4 5 6 7 8]
46,1,3/S01_P04_10_output.wav,[1 2 3 4 5 6 7 8]
47,1,2/S21_P47_73_output.wav,[1 2 3 4 5 6 7 8]
48,1,1/S21_P45_68_output.wav,[1 2 3 4 5 6 7 8]
49,1,2/S01_P02_10_output.wav,[1 2 3 4 5 6 7 8]
50,1,2/S01_P02_210_output.wav,[1 2 3 4 5 6 7 8]
51,1,1/S21_P47_186_output.wav,[1 2 3 4 5 6 7 8]
52,1,1/S01_P01_261_output.wav,[1 2 3 4 5 6 7 8]
53,1,1/S21_P46_323_output.wav,[1 2 3 4 5 6 7 8]
54,1,3/S21_P45_27_output.wav,[1 2 3 4 5 6 7 8]
55,1,2/S21_P47_237_output.wav,[1 2 3 4 5 6 7 8]
56,1,1/S21_P45_43_output.wav,[1 2 3 4 5 6 7 8]
57,1,3/S01_P04_2_output.wav,[1 2 3 4 5 6 7 8]
45,1,1/S01_P03_147_output.wav,[1 2 3 4 5 6 7 8]
29,1,2/S21_P45_98_output.wav,[1 2 3 4 5 6 7 8]
42,1,2/S21_P45_29_output.wav,[1 2 3 4 5 6 7 8]
27,1,1/S01_P03_198_output.wav,[1 2 3 4 5 6 7 8]
28,1,1/S01_P04_315_output.wav,[1 2 3 4 5 6 7 8]
2,1,2/S01_P04_9_output.wav,[1 2 3 4 5 6 7 8]
3,1,1/S21_P45_60_output.wav,[1 2 3 4 5 6 7 8]
4,1,1/S01_P02_194_output.wav,[1 2 3 4 5 6 7 8]
5,1,1/S01_P01_191_output.wav,[1 2 3 4 5 6 7 8]
6,1,2/S01_P04_166_output.wav,[1 2 3 4 5 6 7 8]
7,1,1/S01_P01_384_output.wav,[1 2 3 4 5 6 7 8]
8,1,3/S21_P45_19_output.wav,[1 2 3 4 5 6 7 8]
9,1,2/S01_P03_144_output.wav,[1 2 3 4 5 6 7 8]
10,1,1/S21_P47_117_output.wav,[1 2 3 4 5 6 7 8]
11,1,3/S01_P04_3_output.wav,[1 2 3 4 5 6 7 8]
12,1,2/S01_P04_180_output.wav,[1 2 3 4 5 6 7 8]
13,1,1/S21_P47_302_output.wav,[1 2 3 4 5 6 7 8]
1,1,2/S21_P46_5_output.wav,[1 2 3 4 5 6 7 8]
15,1,2/S21_P46_118_output.wav,[1 2 3 4 5 6 7 8]
14,1,2/S01_P04_256_output.wav,[1 2 3 4 5 6 7 8]
25,1,2/S21_P46_69_output.wav,[1 2 3 4 5 6 7 8]
24,1,1/S01_P02_145_output.wav,[1 2 3 4 5 6 7 8]
23,1,2/S21_P45_121_output.wav,[1 2 3 4 5 6 7 8]
22,1,1/S01_P03_410_output.wav,[1 2 3 4 5 6 7 8]
21,1,2/S01_P01_35_output.wav,[1 2 3 4 5 6 7 8]
26,1,1/S01_P02_212_output.wav,[1 2 3 4 5 6 7 8]
19,1,3/S01_P04_47_output.wav,[1 2 3 4 5 6 7 8]
18,1,1/S21_P45_131_output.wav,[1 2 3 4 5 6 7 8]
17,1,1/S21_P46_65_output.wav,[1 2 3 4 5 6 7 8]
16,1,1/S01_P03_227_output.wav,[1 2 3 4 5 6 7 8]
20,1,2/S01_P04_200_output.wav,[1 2 3 4 5 6 7 8]
99,2,1/S01_P02_169_output.wav,[ 9 10 11 12 13 14 15 16]
98,2,2/S01_P02_232_output.wav,[ 9 10 11 12 13 14 15 16]
97,2,1/S21_P47_259_output.wav,[ 9 10 11 12 13 14 15 16]
89,2,1/S21_P45_271_output.wav,[ 9 10 11 12 13 14 15 16]
96,2,1/S21_P47_82_output.wav,[ 9 10 11 12 13 14 15 16]
93,2,1/S01_P02_254_output.wav,[ 9 10 11 12 13 14 15 16]
94,2,1/S01_P04_151_output.wav,[ 9 10 11 12 13 14 15 16]
92,2,2/S21_P45_102_output.wav,[ 9 10 11 12 13 14 15 16]
91,2,1/S21_P47_151_output.wav,[ 9 10 11 12 13 14 15 16]
90,2,3/S01_P03_32_output.wav,[ 9 10 11 12 13 14 15 16]
100,2,1/S21_P45_390_output.wav,[ 9 10 11 12 13 14 15 16]
95,2,2/S01_P01_34_output.wav,[ 9 10 11 12 13 14 15 16]
101,2,1/S21_P47_75_output.wav,[ 9 10 11 12 13 14 15 16]
107,2,2/S21_P47_223_output.wav,[ 9 10 11 12 13 14 15 16]
103,2,3/S01_P03_13_output.wav,[ 9 10 11 12 13 14 15 16]
104,2,2/S01_P04_82_output.wav,[ 9 10 11 12 13 14 15 16]
105,2,1/S01_P01_216_output.wav,[ 9 10 11 12 13 14 15 16]
106,2,1/S01_P04_336_output.wav,[ 9 10 11 12 13 14 15 16]
108,2,2/S01_P02_21_output.wav,[ 9 10 11 12 13 14 15 16]
109,2,1/S01_P01_145_output.wav,[ 9 10 11 12 13 14 15 16]
110,2,1/S01_P04_41_output.wav,[ 9 10 11 12 13 14 15 16]
111,2,3/S01_P04_42_output.wav,[ 9 10 11 12 13 14 15 16]
112,2,1/S21_P47_299_output.wav,[ 9 10 11 12 13 14 15 16]
113,2,1/S21_P47_192_output.wav,[ 9 10 11 12 13 14 15 16]
114,2,1/S01_P01_322_output.wav,[ 9 10 11 12 13 14 15 16]
88,2,2/S01_P03_156_output.wav,[ 9 10 11 12 13 14 15 16]
102,2,1/S21_P45_101_output.wav,[ 9 10 11 12 13 14 15 16]
87,2,3/S01_P04_24_output.wav,[ 9 10 11 12 13 14 15 16]
115,2,2/S01_P04_208_output.wav,[ 9 10 11 12 13 14 15 16]
85,2,3/S21_P47_10_output.wav,[ 9 10 11 12 13 14 15 16]
58,2,2/S01_P04_42_output.wav,[ 9 10 11 12 13 14 15 16]
59,2,2/S21_P47_9_output.wav,[ 9 10 11 12 13 14 15 16]
60,2,1/S01_P04_69_output.wav,[ 9 10 11 12 13 14 15 16]
61,2,2/S21_P46_93_output.wav,[ 9 10 11 12 13 14 15 16]
62,2,1/S21_P47_105_output.wav,[ 9 10 11 12 13 14 15 16]
63,2,1/S01_P02_216_output.wav,[ 9 10 11 12 13 14 15 16]
64,2,2/S21_P45_24_output.wav,[ 9 10 11 12 13 14 15 16]
66,2,1/S21_P45_469_output.wav,[ 9 10 11 12 13 14 15 16]
67,2,2/S21_P45_118_output.wav,[ 9 10 11 12 13 14 15 16]
68,2,2/S01_P01_88_output.wav,[ 9 10 11 12 13 14 15 16]
69,2,2/S01_P03_126_output.wav,[ 9 10 11 12 13 14 15 16]
70,2,1/S21_P47_535_output.wav,[ 9 10 11 12 13 14 15 16]
71,2,1/S21_P45_237_output.wav,[ 9 10 11 12 13 14 15 16]
65,2,2/S01_P04_113_output.wav,[ 9 10 11 12 13 14 15 16]
73,2,1/S21_P46_13_output.wav,[ 9 10 11 12 13 14 15 16]
72,2,2/S01_P02_158_output.wav,[ 9 10 11 12 13 14 15 16]
83,2,1/S21_P45_349_output.wav,[ 9 10 11 12 13 14 15 16]
82,2,1/S01_P02_581_output.wav,[ 9 10 11 12 13 14 15 16]
81,2,1/S01_P04_36_output.wav,[ 9 10 11 12 13 14 15 16]
80,2,2/S01_P04_84_output.wav,[ 9 10 11 12 13 14 15 16]
79,2,2/S21_P46_24_output.wav,[ 9 10 11 12 13 14 15 16]
84,2,2/S21_P45_229_output.wav,[ 9 10 11 12 13 14 15 16]
86,2,3/S01_P01_23_output.wav,[ 9 10 11 12 13 14 15 16]
77,2,1/S01_P02_431_output.wav,[ 9 10 11 12 13 14 15 16]
