,wavfile,duration,duration_0_spk,duration_1_spk,duration_2_spk,duration_3_spk,n_spk,speakers,sex,session,location,transcription
203,S01_P01_0_output.wav,4.73,1.19,2.11,1.04,0.39,3,P02 P03 P04,FM,S01,dining,(P04) Okay people.  Come here. (P02) [laughs] (P03) Oh. (P04) Okay ready? (P03) Yeah. (P04) Wait actually this way is better. (P02) [laughs] 
212,S01_P01_10_output.wav,4.99,0.93,4.06,0.00,0.00,1,P03 P04,FM,S01,dining,(P04) So it's it's these two videos. (P03) Yeah. (P04) Um k this is the first one. 
213,S01_P01_11_output.wav,4.84,0.51,1.54,2.44,0.35,3,P02 P03 P04,FM,S01,dining,"(P02) Um and then you can pull out, you get your money back. (P03) Mhm. So it's a five hundred dollar buy in. (P04) Oh that's interesting. (P02) So it is [inaudible 1:33:30.04] But it's a buy in yeah. (P03) I see. Yeah. "
214,S01_P01_12_output.wav,4.84,1.72,3.08,0.04,0.00,2,P02 P03 P04,FM,S01,dining,(P03) I see. Yeah. (P04) Oh. (P02) Cuz it's cooperative so it's not like a profit (P03) Mhm. 
215,S01_P01_15_output.wav,4.99,0.76,4.21,0.02,0.00,2,P03 P04,FM,S01,living,"(P03) Superstars? (P04) Sure. (P03) Uh, or blockbuster movies, it's up to you. "
216,S01_P01_16_output.wav,4.41,1.14,0.69,1.74,0.84,3,P02 P03 P04,FM,S01,living,"(P04) Uh yeah. (P03) [laughs]  Oh would you (P04) Oh. (P02) Oh, I work in the sky. "
217,S01_P01_17_output.wav,4.99,1.62,3.37,0.00,0.00,1,P03 P04,FM,S01,kitchen,(P03) What is that? (P04) Uh sauce. Actually really good with it. 
218,S01_P01_18_output.wav,4.00,0.92,1.24,1.84,0.00,2,P03 P04,FM,S01,kitchen,"(P03) Yeah. (P04) I think this is how you [inaudible 0:22:48.81]? (P03) I think it should be easier, yeah. "
219,S01_P01_19_output.wav,4.00,0.89,1.89,1.22,0.00,2,P02 P03 P04,FM,S01,kitchen,"(P03) Feel like I don't know where this goes, cuz there still some in here left? But (P02) I would say garbage. But (P04) Yeah. Yeah. (P03) What?  Oh. "
204,S01_P01_1_output.wav,4.99,1.15,3.49,0.35,0.00,2,P03 P04,FM,S01,dining,(P04) They actually know their coffee stuff. [laughs] (P03) Mhm. (P04) And apparently they have to take like. 
205,S01_P01_3_output.wav,4.78,1.49,3.28,0.01,0.00,2,P03 P04,FM,S01,dining,(P03) Hmm.  What did you study there? (P04) Um I did psychology. 
206,S01_P01_4_output.wav,4.49,1.09,2.66,0.45,0.29,3,P02 P03 P04,FM,S01,dining,(P04) Which was like one of the most useless thing ever. (P03) [laughs] (P04) Um. (P02) [laughs] (P04) Yeah why did I do it? Well cuz it was like 
207,S01_P01_5_output.wav,4.60,1.07,3.14,0.39,0.00,2,P03 P04,FM,S01,dining,"(P03) Like I did it last year, I can't remember if it was winter or summer though. (P04) Did it help your programming thing, do you think? (P03) Yep. "
208,S01_P01_6_output.wav,4.77,1.26,2.88,0.63,0.00,2,P03 P04,FM,S01,dining,"(P03) And I I was thinking about, there's like an event happening end of this month. Um where they're doing an open house for their new office, a new new space, so I was planning to go to it. (P04) Oh I didn't know. (P03) I got an an email invitation. (P04) Hmm. (P03) So. "
209,S01_P01_7_output.wav,4.71,1.45,3.26,0.00,0.00,1,P03 P04,FM,S01,dining,(P03) So. (P04) Yeah it's definitely big. (P03) Mhm. (P04) And they have like a lounge. 
210,S01_P01_8_output.wav,4.73,0.55,3.89,0.29,0.00,2,P02 P03 P04,FM,S01,dining,(P04) Oh you should tell him to come watch you.  No it's too much pressure. (P02) No I could watch if you were playing here. [laughs] (P03) [laughs] 
211,S01_P01_9_output.wav,4.00,0.81,3.18,0.01,0.00,2,P03 P04,FM,S01,dining,"(P03) Yeah yeah it's the only time I ever go there, is for that.  Mhm. (P04) Mm what else is there. Beta Five is closeby. "
188,S01_P02_0_output.wav,4.16,0.84,2.16,0.51,0.65,3,P01 P03 P04,FM,S01,dining,(P03) We have cutlery for this part. (P01) Think we're (P04) Um. (P01) think we're good. (P03) Maybe a spoon for the guac. (P01) Oh yeah yeah yeah. 
198,S01_P02_10_output.wav,4.00,0.67,1.73,0.16,1.44,3,P01 P03 P04,FM,S01,living,"(P03) K superstars all right, play this back again. (P04) This way? This way. (P01) Oh no the other way. Yeah. Yeah. [noise] (P03) No other way. Yeah. "
199,S01_P02_11_output.wav,4.99,0.69,2.39,1.91,0.00,2,P01 P03 P04,FM,S01,living,"(P04) Oh is this animal? (P03) No it's just act it out, it's like actions or something. (P01) No just act it out. (P04) [noise] "
200,S01_P02_14_output.wav,4.99,0.92,3.42,0.65,0.00,2,P01 P03 P04,FM,S01,kitchen,(P03) Oh this is like the hot sauce. (P01) You guys need any salt or pepper or or (P04) Mm. 
201,S01_P02_15_output.wav,4.17,0.72,0.44,3.01,0.00,2,P01 P03 P04,FM,S01,kitchen,(P01) [laughs]  Aw are you serious? (P03) Yeah. [laughs] (P04) Do you have a wine opener? 
202,S01_P02_16_output.wav,4.99,0.78,1.33,2.88,0.00,2,P01 P03 P04,FM,S01,kitchen,"(P03) Oh you should just like uh, it's like a pop off cork. (P04) Oh actually you don't.  Yeah.  Oh we can't do, you can't, oh. (P01) Oh. How does it (P04) Mm think "
189,S01_P02_1_output.wav,4.00,0.58,2.72,0.38,0.32,3,P01 P03 P04,FM,S01,dining,"(P01) Anytime someone's like ""Oh who's free"", like after work. (P04) Mhm. (P03) Mhm. (P01) We'll go and most of us in that one group chat live around "
190,S01_P02_2_output.wav,4.00,0.66,3.01,0.33,0.00,2,P01 P03 P04,FM,S01,dining,"(P03) Well it used to be small, now it's pretty big. [laughs]  We were like the last years of when it was small. (P01) Yeah. (P04) Oh. "
191,S01_P02_3_output.wav,4.99,0.52,2.91,1.55,0.01,3,P01 P03 P04,FM,S01,dining,(P04) I avoided downtown. (P01) Oh right I remember you said that. (P03) [laughs] (P04) Yeah. Oh I checked out the Starbucks Reserve. 
192,S01_P02_4_output.wav,4.99,0.66,3.56,0.77,0.00,2,P01 P03 P04,FM,S01,dining,"(P03) [noise] I'm just gonna finish off this salad, unless. (P01) Oh yeah go ahead. There's lots of food. (P04) No go ahead. "
193,S01_P02_5_output.wav,4.99,1.10,2.40,0.68,0.81,3,P01 P03 P04,FM,S01,dining,(P01) Sold on Canada Day with those designs on them. (P04) Mm.  I think it was sold like (P01) I heard about that. (P03) Mhm. 
194,S01_P02_6_output.wav,4.28,0.93,2.66,0.69,0.00,2,P01 P03 P04,FM,S01,dining,(P04) Oh. It's still [inaudible 1:21:52.44]  K maybe you guys can hold it. Yeah. (P01) Oh. (P03) Think your phone's big enough. 
