,wavfile,duration,duration_0_spk,duration_1_spk,duration_2_spk,duration_3_spk,n_spk,speakers,sex,session,location,transcription
18,S01_P02_4_output.wav,4.99,0.66,3.56,0.77,0.00,2,P01 P03 P04,FM,S01,dining,"(P03) [noise] I'm just gonna finish off this salad, unless. (P01) Oh yeah go ahead. There's lots of food. (P04) No go ahead. "
55,S01_P04_14_output.wav,4.99,0.71,2.69,0.96,0.63,3,P01 P02 P03,FM,S01,dining,"(P01) Hiking, hiking (P02) Trying to find each other? (P03) [laughs] (P01) Our group walking towards where they were, cuz we knew where they were. "
62,S01_P04_21_output.wav,4.49,1.33,1.99,1.17,0.00,2,P01 P03,FM,S01,dining,"(P03) Hmm. (P01) But once we ac- , yeah once we actually start doing it we'll need. (P03) So practical. "
52,S01_P04_11_output.wav,4.99,1.53,3.46,0.00,0.00,1,P01 P03,FM,S01,dining,"(P01) I've never been to the parade. (P03) It was pretty cool, it was actually just on um "
8,S01_P01_12_output.wav,4.84,1.72,3.08,0.04,0.00,2,P02 P03 P04,FM,S01,dining,(P03) I see. Yeah. (P04) Oh. (P02) Cuz it's cooperative so it's not like a profit (P03) Mhm. 
64,S01_P04_23_output.wav,4.80,1.15,3.33,0.32,0.00,2,P02 P03,FM,S01,dining,"(P02) Me, like this is the second time I've used Modo um Evo now, so that was an experience. [laughs]  But yeah it's super convenient too. (P03) Yeah. (P02) [inaudible 1:34:06.10] point A to point B. "
48,S01_P04_7_output.wav,4.99,1.15,3.45,0.39,0.00,2,P01 P03,FM,S01,dining,"(P03) Mhm. (P01) We're more of the intermediate group, but.  Yeah. Pretty good group of people. "
32,S01_P03_7_output.wav,4.55,1.13,2.71,0.71,0.00,2,P01 P02,F,S01,dining,"(P01) Cuz I'm going to Kits  for our work barbecue after, so I'd rather go to (P02) Mhm. (P01) his house then. "
36,S01_P03_12_output.wav,4.99,0.93,3.59,0.47,0.00,2,P01 P04,F,S01,dining,(P01) Yeah it's fun. I like it when people get into sports I like. [laughs] (P04) [laughs] 
24,S01_P02_10_output.wav,4.00,0.67,1.73,0.16,1.44,3,P01 P03 P04,FM,S01,living,"(P03) K superstars all right, play this back again. (P04) This way? This way. (P01) Oh no the other way. Yeah. Yeah. [noise] (P03) No other way. Yeah. "
66,S01_P04_25_output.wav,4.60,1.42,1.26,1.92,0.00,2,P01 P02 P03,FM,S01,living,(P03) Okay so I'll flip it over.  At the beginning? (P02) One two three. (P01) One two three. 
