,wavfile,duration,duration_0_spk,duration_1_spk,duration_2_spk,duration_3_spk,n_spk,speakers,sex,session,location,transcription
0,S01_P01_0.wav,4.73,1.19,2.11,1.04,0.39,3,P02 P03 P04,FM,S01,dining,(P04) Okay people.  Come here. (P02) [laughs] (P03) Oh. (P04) Okay ready? (P03) Yeah. (P04) Wait actually this way is better. (P02) [laughs] 
1,S01_P01_1.wav,4.99,1.15,3.49,0.35,0.00,2,P03 P04,FM,S01,dining,(P04) They actually know their coffee stuff. [laughs] (P03) Mhm. (P04) And apparently they have to take like. 
2,S01_P01_2.wav,4.99,1.71,2.90,0.38,0.00,2,P03 P04,FM,S01,dining,(P04) Hmm hmm hmm. Can you pass the beans? (P03) Oh yeah. (P04) Thanks. 
3,S01_P01_3.wav,4.78,1.49,3.28,0.01,0.00,2,P03 P04,FM,S01,dining,(P03) Hmm.  What did you study there? (P04) Um I did psychology. 
4,S01_P01_4.wav,4.49,1.09,2.66,0.45,0.29,3,P02 P03 P04,FM,S01,dining,(P04) Which was like one of the most useless thing ever. (P03) [laughs] (P04) Um. (P02) [laughs] (P04) Yeah why did I do it? Well cuz it was like 
5,S01_P01_5.wav,4.60,1.07,3.14,0.39,0.00,2,P03 P04,FM,S01,dining,"(P03) Like I did it last year, I can't remember if it was winter or summer though. (P04) Did it help your programming thing, do you think? (P03) Yep. "
6,S01_P01_6.wav,4.77,1.26,2.88,0.63,0.00,2,P03 P04,FM,S01,dining,"(P03) And I I was thinking about, there's like an event happening end of this month. Um where they're doing an open house for their new office, a new new space, so I was planning to go to it. (P04) Oh I didn't know. (P03) I got an an email invitation. (P04) Hmm. (P03) So. "
7,S01_P01_7.wav,4.71,1.45,3.26,0.00,0.00,1,P03 P04,FM,S01,dining,(P03) So. (P04) Yeah it's definitely big. (P03) Mhm. (P04) And they have like a lounge. 
8,S01_P01_8.wav,4.73,0.55,3.89,0.29,0.00,2,P02 P03 P04,FM,S01,dining,(P04) Oh you should tell him to come watch you.  No it's too much pressure. (P02) No I could watch if you were playing here. [laughs] (P03) [laughs] 
9,S01_P01_9.wav,4.00,0.81,3.18,0.01,0.00,2,P03 P04,FM,S01,dining,"(P03) Yeah yeah it's the only time I ever go there, is for that.  Mhm. (P04) Mm what else is there. Beta Five is closeby. "
10,S01_P01_10.wav,4.99,0.93,4.06,0.00,0.00,1,P03 P04,FM,S01,dining,(P04) So it's it's these two videos. (P03) Yeah. (P04) Um k this is the first one. 
11,S01_P01_11.wav,4.84,0.51,1.54,2.44,0.35,3,P02 P03 P04,FM,S01,dining,"(P02) Um and then you can pull out, you get your money back. (P03) Mhm. So it's a five hundred dollar buy in. (P04) Oh that's interesting. (P02) So it is [inaudible 1:33:30.04] But it's a buy in yeah. (P03) I see. Yeah. "
12,S01_P01_12.wav,4.84,1.72,3.08,0.04,0.00,2,P02 P03 P04,FM,S01,dining,(P03) I see. Yeah. (P04) Oh. (P02) Cuz it's cooperative so it's not like a profit (P03) Mhm. 
13,S01_P01_13.wav,4.99,1.00,3.51,0.48,0.00,2,P02 P03 P04,FM,S01,living,(P04) Mhm. (P03) Panda. (P02) [noise] Bacon. 
14,S01_P01_14.wav,4.99,1.46,2.35,0.24,0.94,3,P02 P03 P04,FM,S01,living,(P04) [noise] Oh anchor? [inaudible 1:56:18.25] (P02) Oh. (P03) Anchor. 
15,S01_P01_15.wav,4.99,0.76,4.21,0.02,0.00,2,P03 P04,FM,S01,living,"(P03) Superstars? (P04) Sure. (P03) Uh, or blockbuster movies, it's up to you. "
16,S01_P01_16.wav,4.41,1.14,0.69,1.74,0.84,3,P02 P03 P04,FM,S01,living,"(P04) Uh yeah. (P03) [laughs]  Oh would you (P04) Oh. (P02) Oh, I work in the sky. "
17,S01_P01_17.wav,4.99,1.62,3.37,0.00,0.00,1,P03 P04,FM,S01,kitchen,(P03) What is that? (P04) Uh sauce. Actually really good with it. 
18,S01_P01_18.wav,4.00,0.92,1.24,1.84,0.00,2,P03 P04,FM,S01,kitchen,"(P03) Yeah. (P04) I think this is how you [inaudible 0:22:48.81]? (P03) I think it should be easier, yeah. "
19,S01_P01_19.wav,4.00,0.89,1.89,1.22,0.00,2,P02 P03 P04,FM,S01,kitchen,"(P03) Feel like I don't know where this goes, cuz there still some in here left? But (P02) I would say garbage. But (P04) Yeah. Yeah. (P03) What?  Oh. "
20,S01_P02_0.wav,4.16,0.84,2.16,0.51,0.65,3,P01 P03 P04,FM,S01,dining,(P03) We have cutlery for this part. (P01) Think we're (P04) Um. (P01) think we're good. (P03) Maybe a spoon for the guac. (P01) Oh yeah yeah yeah. 
21,S01_P02_1.wav,4.00,0.58,2.72,0.38,0.32,3,P01 P03 P04,FM,S01,dining,"(P01) Anytime someone's like ""Oh who's free"", like after work. (P04) Mhm. (P03) Mhm. (P01) We'll go and most of us in that one group chat live around "
22,S01_P02_2.wav,4.00,0.66,3.01,0.33,0.00,2,P01 P03 P04,FM,S01,dining,"(P03) Well it used to be small, now it's pretty big. [laughs]  We were like the last years of when it was small. (P01) Yeah. (P04) Oh. "
23,S01_P02_3.wav,4.99,0.52,2.91,1.55,0.01,3,P01 P03 P04,FM,S01,dining,(P04) I avoided downtown. (P01) Oh right I remember you said that. (P03) [laughs] (P04) Yeah. Oh I checked out the Starbucks Reserve. 
24,S01_P02_4.wav,4.99,0.66,3.56,0.77,0.00,2,P01 P03 P04,FM,S01,dining,"(P03) [noise] I'm just gonna finish off this salad, unless. (P01) Oh yeah go ahead. There's lots of food. (P04) No go ahead. "
25,S01_P02_5.wav,4.99,1.10,2.40,0.68,0.81,3,P01 P03 P04,FM,S01,dining,(P01) Sold on Canada Day with those designs on them. (P04) Mm.  I think it was sold like (P01) I heard about that. (P03) Mhm. 
26,S01_P02_6.wav,4.28,0.93,2.66,0.69,0.00,2,P01 P03 P04,FM,S01,dining,(P04) Oh. It's still [inaudible 1:21:52.44]  K maybe you guys can hold it. Yeah. (P01) Oh. (P03) Think your phone's big enough. 
27,S01_P02_7.wav,4.81,1.28,1.99,1.54,0.00,2,P01 P03 P04,FM,S01,dining,(P03) Yeah. (P04) No it's kinda far like. (P03) Oh. (P01) Isn't it heavy? I feel like they don't really. 
