,wavfile,duration,duration_0_spk,duration_1_spk,duration_2_spk,duration_3_spk,n_spk,speakers,sex,session,location,transcription
5,S01_P01_5.wav,4.60,1.07,3.14,0.39,0.00,2,P03 P04,FM,S01,dining,"(P03) Like I did it last year, I can't remember if it was winter or summer though. (P04) Did it help your programming thing, do you think? (P03) Yep. "
65,S01_P04_12.wav,4.89,1.06,2.99,0.37,0.47,3,P01 P02 P03 P04,FM,S01,dining,"(P04) Before. But it is, it looks pretty nice. (P02) I woulda bought it if we knew it's it would resell for [laughs] (P03) [laughs] (P01) Yeah. "
66,S01_P04_13.wav,4.99,0.78,3.89,0.32,0.00,2,P01 P02 P03,FM,S01,dining,(P01) Or uh where Capilano Suspension Bridge is? (P03) Oh okay. (P02) Oh.  [inaudible 0:51:30.78] (P01) Yeah. 
71,S01_P04_18.wav,4.92,1.75,2.90,0.27,0.00,2,P02 P03,FM,S01,dining,(P02) Did you have like (P03) I had um (P02) Proper shoes and all that. (P03) They were called um  Crampons I think? 
72,S01_P04_19.wav,4.99,1.31,3.44,0.24,0.00,2,P01 P03,FM,S01,dining,"(P03) I saw other people doing snowshoeing. (P01) Mm. (P03) But I'd never done snowshoeing before, so. "
61,S01_P04_8.wav,4.71,1.14,2.98,0.59,0.00,2,P01 P03,FM,S01,dining,"(P01) Mhm. (P03) Then uh English Bay or Sunset Beach.  Really convenient. (P01) Okay, yeah. "
37,S01_P03_1.wav,4.96,1.80,1.19,1.64,0.33,3,P01 P02 P04,F,S01,dining,"(P04) Okay, one, two.  Yay. (P02) [laughs] That was awesome. (P01) [laughs]  Yay. "
42,S01_P03_6.wav,4.22,0.63,2.61,0.98,0.00,2,P01 P02,F,S01,dining,(P01) Yeah I didn't know Xiang um was also taking lessons as well.  You guys should play together. (P02) He is? (P01) Yeah. So we have this one coworker (P02) Oh I didn't know that. 
114,S01_P04_61.wav,4.61,0.65,3.96,0.00,0.00,1,P03,M,S01,dining,(P03) Um I think like  I don't know like it's  It's it's been a while but it was pretty big. It was like two two levels.  If you actually wanted like a bunk 
77,S01_P04_24.wav,4.15,1.12,1.02,2.01,0.00,2,P01 P02 P03 P04,FM,S01,living,(P04) Nail. (P01) Ah. Dinosaur. (P03) Dude. (P02) Guys I'm so stumped. 
